# 🤖 fixed source-selection ledger at 2026-07-26 PDT
id	decision	family	work	status_at_cutoff	primary_source	reason	uncertainty
agentdojo	include	security and reliability	AgentDojo	NeurIPS 2024 datasets and benchmarks	https://proceedings.neurips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html	dynamic prompt-injection evaluation over utility and security	attacks and defenses age quickly
agentharm	include	safety	AgentHarm	ICLR 2025 accepted	https://proceedings.iclr.cc/paper_files/paper/2025/hash/c493d23af93118975cdbc32cbe7323f5-Abstract-Conference.html	harmful autonomous task benchmark and jailbreak sensitivity	harm taxonomy and sandbox tasks are necessarily bounded
st_webagentbench	include	safety and trustworthy web use	ST-WebAgentBench	ICLR 2026 accepted	https://openreview.net/forum?id=MuCDzH0ctf	joint task completion and policy compliance	landing-page task-count versions conflict
ai_control	include	control	AI Control	ICML 2024 accepted	https://proceedings.mlr.press/v235/greenblatt24a.html	landmark adversarial-control experiment with trusted and untrusted models	older narrow coding proxy
androidworld	exclude	computer use	AndroidWorld	ICLR 2025 accepted	https://openreview.net/forum?id=il5yUQsrjC	mobile-only coverage was redundant after OSWorld and WorkArena	meaningful omission if Android deployment is central
toolsandbox	exclude	planning and tool use	ToolSandbox	NAACL 2025 findings	https://aclanthology.org/2025.findings-naacl.65/	lower venue tier and overlap with tau-bench	may contain distinct state-dependency evidence
core_bench	exclude	software engineering	CORE-Bench	arXiv preprint 2026	https://arxiv.org/abs/2606.11864	ambiguous search match and no verified premier acceptance	possible recent benchmark missed by the fixed cutoff search
magentic_one	exclude	multi-agent systems	Magentic-One	Microsoft technical report 2024	https://www.microsoft.com/en-us/research/publication/magentic-one-a-generalist-multi-agent-system-for-solving-complex-tasks/	system report lacked a uniquely necessary controlled result after MultiAgentBench	first-party evidence may still inform systems engineering
swe_bench_audit	exclude	evaluation reliability	What's in a Benchmark? The Case of SWE-Bench	ACM publication 2026	https://dl.acm.org/doi/10.1145/3786583.3786904	indirect benchmark-audit context rather than a flagship agent-capability paper	its findings could sharpen the leakage section in later revision
controlarena	exclude	control	ControlArena	AISI library and technical material 2025	https://control-arena.aisi.org.uk/	no premier paper was verified and AI Control supplies the accepted anchor	a later accepted evaluation may supersede this decision
riosworld	exclude	computer-use risk	RiOSWorld	NeurIPS 2025 accepted	https://proceedings.neurips.cc/paper_files/paper/2025/hash/0c79d6ed1788653643a1ac67b6ea32a7-Abstract-Conference.html	fixed breadth cap favored AgentDojo plus ST-WebAgentBench for security and policy evidence	important risk-benchmark omission
asb	exclude	agent security	Agent Security Bench	ICLR 2025 accepted	https://openreview.net/forum?id=V4y0CpX4hK	overlapped AgentDojo and AgentHarm under the fixed breadth cap	broader attack taxonomy may reveal missed failure modes
longmemeval	exclude	memory	LongMemEval	ICLR 2025 accepted	https://iclr.cc/virtual/2025/poster/28290	chat-assistant memory is less action-coupled than MemoryAgentBench	stronger longitudinal evidence may merit later inclusion
webcoach	exclude	memory and learning	WebCoach	ICLR 2026 accepted	https://iclr.cc/virtual/2026/10021277	WebRL plus MemoryAgentBench more directly isolate training and memory evidence	cross-session guidance is a reachable frontier omitted for breadth
membench	exclude	memory	MemBench	ACL 2025 findings	https://aclanthology.org/2025.findings-acl.989/	lower venue tier and overlap with MemoryAgentBench	could broaden memory-type coverage
osworld_2	exclude	computer use	OSWorld 2.0	arXiv preprint 2026	https://arxiv.org/abs/2606.29537	very recent unreviewed update not necessary for the fixed accepted-evidence core	likely changes absolute frontier numbers
ultrahorizon_iclr_submission	exclude	duplicate record	UltraHorizon ICLR submission	ICLR 2026 rejected	https://openreview.net/forum?id=FTZfVHWAIq	duplicate rejected submission; accepted ICML record selected	title and text version differ
swe_bench_pro_iclr_submission	exclude	duplicate record	SWE-Bench Pro ICLR submission	ICLR 2026 rejected	https://openreview.net/forum?id=9R2iUHhVfr	duplicate rejected submission; accepted ICML record selected	version differences require care
